x:129, y:  0, r:   75, g:    1, b:    0
x:130, y:  0, r:   94, g:    1, b:    0
x:131, y:  0, r:  114, g:    7, b:    9
x:132, y:  0, r:  126, g:    7, b:   10
x:133, y:  0, r:  127, g:    7, b:    9
x:134, y:  0, r:  121, g:    2, b:    4
x:135, y:  0, r:  120, g:    0, b:    0
x:136, y:  0, r:  122, g:    0, b:    0
x:137, y:  0, r:  156, g:   13, b:   23
x:138, y:  0, r:  181, g:   28, b:   41
x:139, y:  0, r:  198, g:   41, b:   54
x:140, y:  0, r:  194, g:   41, b:   56
x:141, y:  0, r:  156, g:    1, b:   18
x:142, y:  0, r:  172, g:   13, b:   33
x:143, y:  0, r:  183, g:   20, b:   39
x:144, y:  0, r:  224, g:   58, b:   78
x:145, y:  0, r:  214, g:   46, b:   67
x:146, y:  0, r:  174, g:    6, b:   25
x:147, y:  0, r:  149, g:    3, b:   15
x:148, y:  0, r:  101, g:    0, b:    0
x:149, y:  0, r:   83, g:    0, b:    0
x:150, y:  0, r:  108, g:    0, b:    0
x:151, y:  0, r:  138, g:    3, b:   10
x:152, y:  0, r:  153, g:    4, b:   15
x:153, y:  0, r:  156, g:    1, b:   15
x:154, y:  0, r:  133, g:    0, b:    1
x:155, y:  0, r:  190, g:   98, b:   97
x:156, y:  0, r:  188, g:  100, b:   99
x:157, y:  0, r:  128, g:    5, b:   16
x:158, y:  0, r:  145, g:   10, b:   29
x:159, y:  0, r:  178, g:   45, b:   66
x:160, y:  0, r:  167, g:   41, b:   61
x:161, y:  0, r:  141, g:   21, b:   38
x:162, y:  0, r:  121, g:    0, b:   11
x:163, y:  0, r:  142, g:    0, b:   18
x:164, y:  0, r:  174, g:   22, b:   42
x:165, y:  0, r:  201, g:   43, b:   62
x:166, y:  0, r:  193, g:   27, b:   49
x:167, y:  0, r:  184, g:   14, b:   35
x:168, y:  0, r:  187, g:    9, b:   32
x:169, y:  0, r:  187, g:    5, b:   28
x:170, y:  0, r:  185, g:    7, b:   28
x:171, y:  0, r:  183, g:    6, b:   26
x:172, y:  0, r:  188, g:   10, b:   30
x:173, y:  0, r:  187, g:    8, b:   30
x:174, y:  0, r:  188, g:   11, b:   33
x:175, y:  0, r:  188, g:   10, b:   32
x:176, y:  0, r:  188, g:   11, b:   32
x:177, y:  0, r:  195, g:   18, b:   40
x:178, y:  0, r:  190, g:   15, b:   41
x:179, y:  0, r:  182, g:   27, b:   51
x:180, y:  0, r:  200, g:  116, b:  121
x:181, y:  0, r:  182, g:  158, b:  148
x:182, y:  0, r:  174, g:  157, b:  151
x:183, y:  0, r:  165, g:  155, b:  149
x:184, y:  0, r:  165, g:  159, b:  150
x:185, y:  0, r:  165, g:  157, b:  151
