x:129, y:  0, r:  156, g:  165, b:  162
x:130, y:  0, r:  157, g:  166, b:  163
x:131, y:  0, r:  157, g:  165, b:  160
x:132, y:  0, r:  159, g:  165, b:  160
x:133, y:  0, r:  158, g:  167, b:  162
x:134, y:  0, r:  156, g:  166, b:  161
x:135, y:  0, r:  159, g:  164, b:  160
x:136, y:  0, r:  154, g:  160, b:  156
x:137, y:  0, r:  152, g:  158, b:  155
x:138, y:  0, r:  150, g:  156, b:  155
x:139, y:  0, r:  146, g:  151, b:  151
x:140, y:  0, r:  136, g:  142, b:  140
x:141, y:  0, r:  122, g:  128, b:  128
x:142, y:  0, r:  110, g:  115, b:  117
x:143, y:  0, r:  100, g:  104, b:  107
x:144, y:  0, r:   88, g:   93, b:   97
x:145, y:  0, r:   83, g:   89, b:   93
x:146, y:  0, r:   71, g:   74, b:   79
x:147, y:  0, r:   59, g:   62, b:   68
x:148, y:  0, r:   50, g:   54, b:   62
x:149, y:  0, r:   39, g:   39, b:   49
x:150, y:  0, r:   35, g:   34, b:   46
x:151, y:  0, r:   32, g:   31, b:   43
x:152, y:  0, r:   29, g:   28, b:   39
x:153, y:  0, r:   20, g:   20, b:   30
x:154, y:  0, r:   20, g:   19, b:   29
x:155, y:  0, r:   19, g:   19, b:   28
x:156, y:  0, r:   14, g:   16, b:   26
x:157, y:  0, r:   12, g:   15, b:   24
x:158, y:  0, r:   12, g:   15, b:   25
x:159, y:  0, r:   14, g:   17, b:   26
x:160, y:  0, r:   15, g:   18, b:   27
x:161, y:  0, r:   16, g:   19, b:   26
x:162, y:  0, r:   17, g:   20, b:   24
x:163, y:  0, r:   15, g:   19, b:   21
x:164, y:  0, r:   14, g:   18, b:   21
x:165, y:  0, r:   16, g:   20, b:   23
x:166, y:  0, r:   14, g:   18, b:   21
x:167, y:  0, r:   14, g:   18, b:   21
x:168, y:  0, r:   16, g:   19, b:   22
x:169, y:  0, r:   16, g:   17, b:   21
x:170, y:  0, r:   15, g:   17, b:   22
x:171, y:  0, r:   14, g:   17, b:   22
x:172, y:  0, r:   13, g:   17, b:   21
x:173, y:  0, r:   13, g:   16, b:   21
x:174, y:  0, r:   14, g:   16, b:   21
x:175, y:  0, r:   14, g:   17, b:   22
x:176, y:  0, r:   13, g:   16, b:   21
x:177, y:  0, r:   27, g:   30, b:   35
x:178, y:  0, r:   52, g:   55, b:   60
x:179, y:  0, r:   73, g:   76, b:   81
x:180, y:  0, r:   81, g:   84, b:   89
x:181, y:  0, r:   65, g:   67, b:   72
x:182, y:  0, r:   31, g:   32, b:   37
x:183, y:  0, r:   11, g:   12, b:   17
x:184, y:  0, r:   19, g:   20, b:   25
x:185, y:  0, r:   25, g:   26, b:   31
x:186, y:  0, r:   23, g:   24, b:   29
x:187, y:  0, r:   24, g:   25, b:   30
x:188, y:  0, r:   22, g:   23, b:   28
x:189, y:  0, r:   22, g:   23, b:   28
x:190, y:  0, r:   19, g:   20, b:   25
x:191, y:  0, r:   18, g:   19, b:   24
x:192, y:  0, r:   18, g:   20, b:   24
x:193, y:  0, r:   19, g:   18, b:   24
x:194, y:  0, r:   18, g:   18, b:   23
x:195, y:  0, r:   18, g:   18, b:   23
x:196, y:  0, r:   17, g:   17, b:   22
x:197, y:  0, r:   17, g:   17, b:   22
x:198, y:  0, r:   17, g:   16, b:   24
x:199, y:  0, r:   17, g:   16, b:   25
x:200, y:  0, r:   17, g:   17, b:   25
x:201, y:  0, r:   18, g:   16, b:   24
x:202, y:  0, r:   18, g:   17, b:   25
x:203, y:  0, r:   17, g:   15, b:   23
x:204, y:  0, r:   16, g:   15, b:   23
x:205, y:  0, r:   16, g:   16, b:   24
x:206, y:  0, r:   17, g:   18, b:   26
x:207, y:  0, r:   18, g:   19, b:   26
x:208, y:  0, r:   21, g:   20, b:   28
x:209, y:  0, r:   21, g:   20, b:   28
x:210, y:  0, r:   22, g:   21, b:   29
x:211, y:  0, r:   18, g:   18, b:   26
x:212, y:  0, r:   15, g:   17, b:   24
x:213, y:  0, r:   15, g:   15, b:   23
x:214, y:  0, r:   14, g:   14, b:   22
x:215, y:  0, r:   12, g:   16, b:   23
x:216, y:  0, r:   12, g:   15, b:   22
x:217, y:  0, r:   12, g:   15, b:   22
x:218, y:  0, r:   12, g:   15, b:   22
x:219, y:  0, r:   12, g:   16, b:   23
x:220, y:  0, r:   15, g:   14, b:   23
x:221, y:  0, r:   15, g:   14, b:   23
x:222, y:  0, r:   14, g:   14, b:   22
x:223, y:  0, r:   15, g:   15, b:   23
x:224, y:  0, r:   11, g:   14, b:   21
x:225, y:  0, r:    9, g:   13, b:   20
x:226, y:  0, r:   10, g:   14, b:   20
x:227, y:  0, r:   11, g:   13, b:   21
x:228, y:  0, r:   11, g:   14, b:   21
x:229, y:  0, r:   11, g:   14, b:   21
x:230, y:  0, r:   11, g:   14, b:   21
x:231, y:  0, r:   11, g:   13, b:   21
x:232, y:  0, r:    9, g:   15, b:   21
x:233, y:  0, r:   11, g:   14, b:   20
x:234, y:  0, r:   11, g:   14, b:   21
x:235, y:  0, r:    8, g:   11, b:   18
x:236, y:  0, r:   10, g:   13, b:   20
x:237, y:  0, r:   10, g:   13, b:   20
x:238, y:  0, r:   10, g:   13, b:   19
x:239, y:  0, r:   10, g:   13, b:   17
x:240, y:  0, r:   10, g:   13, b:   18
x:241, y:  0, r:    9, g:   12, b:   20
x:242, y:  0, r:   10, g:   13, b:   20
x:243, y:  0, r:   11, g:   14, b:   21
x:244, y:  0, r:   10, g:   14, b:   21
x:245, y:  0, r:   12, g:   12, b:   20
x:246, y:  0, r:   11, g:   12, b:   20
x:247, y:  0, r:   11, g:   14, b:   19
x:248, y:  0, r:   13, g:   12, b:   20
x:249, y:  0, r:   13, g:   13, b:   21
x:250, y:  0, r:   12, g:   12, b:   20
x:251, y:  0, r:   13, g:   13, b:   21
x:252, y:  0, r:   12, g:   13, b:   21
x:253, y:  0, r:   11, g:   12, b:   20
x:254, y:  0, r:   14, g:   14, b:   22
x:255, y:  0, r:   14, g:   13, b:   21
x:256, y:  0, r:   13, g:   14, b:   19
x:257, y:  0, r:   14, g:   15, b:   20
x:258, y:  0, r:   13, g:   14, b:   19
x:259, y:  0, r:   13, g:   14, b:   19
x:260, y:  0, r:   15, g:   16, b:   21
x:261, y:  0, r:   14, g:   15, b:   20
x:262, y:  0, r:   13, g:   14, b:   19
x:263, y:  0, r:   14, g:   15, b:   20
x:264, y:  0, r:   14, g:   15, b:   20
x:265, y:  0, r:   13, g:   14, b:   19
x:266, y:  0, r:   14, g:   15, b:   20
x:267, y:  0, r:   15, g:   15, b:   20
x:268, y:  0, r:   12, g:   15, b:   20
x:269, y:  0, r:   11, g:   14, b:   19
x:270, y:  0, r:   12, g:   15, b:   20
x:271, y:  0, r:   11, g:   14, b:   19
x:272, y:  0, r:   11, g:   15, b:   20
x:273, y:  0, r:   12, g:   15, b:   20
x:274, y:  0, r:   11, g:   15, b:   20
x:275, y:  0, r:   12, g:   15, b:   20
x:276, y:  0, r:   12, g:   15, b:   20
x:277, y:  0, r:   11, g:   14, b:   19
x:278, y:  0, r:   11, g:   14, b:   19
x:279, y:  0, r:   14, g:   14, b:   19
x:280, y:  0, r:   14, g:   15, b:   20
x:281, y:  0, r:   15, g:   15, b:   21
x:282, y:  0, r:   15, g:   15, b:   23
x:283, y:  0, r:   15, g:   15, b:   24
x:284, y:  0, r:   14, g:   14, b:   22
x:285, y:  0, r:   15, g:   14, b:   22
x:286, y:  0, r:   15, g:   14, b:   23
x:287, y:  0, r:   15, g:   14, b:   24
